nuts_code,nuts_level,country,year,ai_adoption_share,n_firms
FRL,1,France,2022,0.059706545462403386,138829
FRM,1,France,2022,0.05671112769331219,10721
FRY,1,France,2022,0.06707490743377954,7022
FR1,1,France,2023,0.11680355436586098,289898
FRB,1,France,2023,0.06232117066790201,36697
FRC,1,France,2023,0.05737430541608087,44811
FRD,1,France,2023,0.06408952187182096,46201
FRE,1,France,2023,0.070999453850355,73240
FRF,1,France,2023,0.06454797611771897,85084
FRG,1,France,2023,0.06453926685590453,65526
FRH,1,France,2023,0.06772221351308982,57412
FRI,1,France,2023,0.06370702486172618,108842
FRJ,1,France,2023,0.06905389936793908,120558
FRK,1,France,2023,0.07139979605453653,158867
FRL,1,France,2023,0.0750053808530693,134737
FRM,1,France,2023,0.0695135963232478,10444
FRY,1,France,2023,0.07637401855817273,7006
FR1,1,France,2024,0.13631658368385371,274355
FRB,1,France,2024,0.07428785823544691,34649
FRC,1,France,2024,0.06876209353910048,42378
FRD,1,France,2024,0.074763573080534,43671
FRE,1,France,2024,0.08249000274292974,69269
FRF,1,France,2024,0.07510726944841739,80405
FRG,1,France,2024,0.0766977320649637,62127
FRH,1,France,2024,0.07868259272250633,54167
FRI,1,France,2024,0.07453470422042932,102999
FRJ,1,France,2024,0.08066313858683728,113943
FRK,1,France,2024,0.08347719440908091,150029
FRL,1,France,2024,0.0883559432796101,127009
FRM,1,France,2024,0.07865055387713998,9930
FRY,1,France,2024,0.08881816866772747,6913
DE1,1,Germany,2016,0.011795949983401572,90376
DE2,1,Germany,2016,0.013983108405046704,125152
DE3,1,Germany,2016,0.023052485099902854,38089
DE4,1,Germany,2016,0.011265874641540352,14646
DE5,1,Germany,2016,0.009185465351884371,7403
DE6,1,Germany,2016,0.010230443319210499,29032
DE7,1,Germany,2016,0.01408101825387752,52484
DE8,1,Germany,2016,0.008665328120046497,9463
DE9,1,Germany,2016,0.010049915694228811,59906
DEA,1,Germany,2016,0.011246656399448813,148051
DEB,1,Germany,2016,0.011387087264150943,27136
DEC,1,Germany,2016,0.014530839387849746,6469
